"year","county","FIPS","candidate","party","unemployment_rate","percentage_votes"
2008,"alameda","06001","Barack Obama","democrat",6.2,0.787573527162178
2008,"alpine","06003","Barack Obama","democrat",10.5,0.609826589595376
2008,"amador","06005","Barack Obama","democrat",7.7,0.415364167995747
2008,"butte","06007","Barack Obama","democrat",8.5,0.498479532163743
2008,"calaveras","06009","Barack Obama","democrat",8.7,0.421050373294431
2008,"colusa","06011","Barack Obama","democrat",13.8,0.399595582516721
2008,"contra costa","06013","Barack Obama","democrat",6.2,0.679692239566036
2008,"del norte","06015","Barack Obama","democrat",8.8,0.453572552722694
2008,"el dorado","06017","Barack Obama","democrat",7,0.436142737231776
2008,"fresno","06019","Barack Obama","democrat",10.6,0.50206214720389
2008,"glenn","06021","Barack Obama","democrat",10.5,0.377973479097075
2008,"humboldt","06023","Barack Obama","democrat",7.3,0.622844320303796
2008,"imperial","06025","Barack Obama","democrat",22.6,0.622411128284389
2008,"inyo","06027","Barack Obama","democrat",6.6,0.438649947263565
2008,"kern","06029","Barack Obama","democrat",9.8,0.401361391453726
2008,"kings","06031","Barack Obama","democrat",10.6,0.420046712999886
2008,"lake","06033","Barack Obama","democrat",10.7,0.581551953644977
2008,"lassen","06035","Barack Obama","democrat",9.6,0.314920523403882
2008,"los angeles","06037","Barack Obama","democrat",7.6,0.691887104279126
2008,"madera","06039","Barack Obama","democrat",9.5,0.423846063038602
2008,"marin","06041","Barack Obama","democrat",4.7,0.779759909270527
2008,"mariposa","06043","Barack Obama","democrat",7.5,0.424826442855663
2008,"mendocino","06045","Barack Obama","democrat",6.9,0.695796681327469
2008,"merced","06047","Barack Obama","democrat",12.6,0.533334378134403
2008,"modoc","06049","Barack Obama","democrat",9.7,0.297058823529412
2008,"mono","06051","Barack Obama","democrat",5.9,0.555196553581045
2008,"monterey","06053","Barack Obama","democrat",8.5,0.681545348774493
2008,"napa","06055","Barack Obama","democrat",5.1,0.651369840045605
2008,"nevada","06057","Barack Obama","democrat",6.6,0.51425952881557
2008,"orange","06059","Barack Obama","democrat",5.3,0.476349304447393
2008,"placer","06061","Barack Obama","democrat",6.5,0.433905041390585
2008,"plumas","06063","Barack Obama","democrat",10.6,0.427548059484947
2008,"riverside","06065","Barack Obama","democrat",8.6,0.502112624922949
2008,"sacramento","06067","Barack Obama","democrat",7.2,0.584929615727932
2008,"san benito","06069","Barack Obama","democrat",9.7,0.604770362852068
2008,"san bernardino","06071","Barack Obama","democrat",8,0.520703110826706
2008,"san diego","06073","Barack Obama","democrat",6,0.541474858392896
2008,"san francisco","06075","Barack Obama","democrat",5.3,0.841602131299544
2008,"san joaquin","06077","Barack Obama","democrat",10.4,0.544421038552847
2008,"san luis obispo","06079","Barack Obama","democrat",5.8,0.513942391050334
2008,"san mateo","06081","Barack Obama","democrat",4.9,0.734691320575551
2008,"santa barbara","06083","Barack Obama","democrat",5.5,0.603812202707647
2008,"santa clara","06085","Barack Obama","democrat",6,0.694484133601968
2008,"santa cruz","06087","Barack Obama","democrat",7.4,0.774573864750594
2008,"shasta","06089","Barack Obama","democrat",10.1,0.359086951113323
2008,"sierra","06091","Barack Obama","democrat",10.6,0.373179306880964
2008,"siskiyou","06093","Barack Obama","democrat",10.2,0.432789939450396
2008,"solano","06095","Barack Obama","democrat",6.9,0.634236797475353
2008,"sonoma","06097","Barack Obama","democrat",5.8,0.736373506110721
