"year","county","FIPS","candidate","party","unemployment_rate","percentage_votes"
2008,"adams","42001","Barack Obama","democrat",4.3,0.396345163973117
2008,"allegheny","42003","Barack Obama","democrat",4.8,0.572865301360189
2008,"armstrong","42005","Barack Obama","democrat",5.9,0.370377760042565
2008,"beaver","42007","Barack Obama","democrat",5.5,0.479488059860531
2008,"bedford","42009","Barack Obama","democrat",6.8,0.269996880709416
2008,"berks","42011","Barack Obama","democrat",5.3,0.539461688975853
2008,"blair","42013","Barack Obama","democrat",5.2,0.373259735121795
2008,"bradford","42015","Barack Obama","democrat",5.3,0.399736250096967
2008,"bucks","42017","Barack Obama","democrat",4.7,0.537754976375919
2008,"butler","42019","Barack Obama","democrat",4.6,0.357036135244314
2008,"cambria","42021","Barack Obama","democrat",6.1,0.494514034927311
2008,"cameron","42023","Barack Obama","democrat",9,0.38035482475119
2008,"carbon","42025","Barack Obama","democrat",6.7,0.50016716817118
2008,"centre","42027","Barack Obama","democrat",4.3,0.553890436642592
2008,"chester","42029","Barack Obama","democrat",3.9,0.541998780991329
2008,"clarion","42031","Barack Obama","democrat",6.2,0.380298339431466
2008,"clearfield","42033","Barack Obama","democrat",6.7,0.430952803932019
2008,"clinton","42035","Barack Obama","democrat",6.2,0.479753937673224
2008,"columbia","42037","Barack Obama","democrat",5.9,0.471809136621376
2008,"crawford","42039","Barack Obama","democrat",5.6,0.440720701791249
2008,"cumberland","42041","Barack Obama","democrat",4.2,0.426362336493142
2008,"dauphin","42043","Barack Obama","democrat",4.7,0.540239025369424
2008,"delaware","42045","Barack Obama","democrat",5,0.60135476480173
2008,"elk","42047","Barack Obama","democrat",6,0.511291906298219
2008,"erie","42049","Barack Obama","democrat",5.6,0.593652559502358
2008,"fayette","42051","Barack Obama","democrat",6.5,0.492179472542528
2008,"forest","42053","Barack Obama","democrat",7.7,0.424713584288052
2008,"franklin","42055","Barack Obama","democrat",4.3,0.332662842775202
2008,"fulton","42057","Barack Obama","democrat",7.2,0.249920710434507
2008,"greene","42059","Barack Obama","democrat",5.8,0.490508113526721
2008,"huntingdon","42061","Barack Obama","democrat",6.6,0.355089563445243
2008,"indiana","42063","Barack Obama","democrat",5.3,0.457518968336953
2008,"jefferson","42065","Barack Obama","democrat",5.5,0.34290729216531
2008,"juniata","42067","Barack Obama","democrat",5.3,0.315930388219545
2008,"lackawanna","42069","Barack Obama","democrat",5.8,0.625961841544138
2008,"lancaster","42071","Barack Obama","democrat",4.3,0.436594957408471
2008,"lawrence","42073","Barack Obama","democrat",6.2,0.468372778253018
2008,"lebanon","42075","Barack Obama","democrat",4.2,0.40015793449152
2008,"lehigh","42077","Barack Obama","democrat",5.6,0.571210252912163
2008,"luzerne","42079","Barack Obama","democrat",6.2,0.536330208710964
2008,"lycoming","42081","Barack Obama","democrat",5.9,0.37333197928303
