"year","county","FIPS","candidate","party","unemployment_rate","percentage_votes"
2008,"anderson","48001","Barack Obama","democrat",5.6,0.277994596217352
2008,"andrews","48003","Barack Obama","democrat",3.3,0.170663210196587
2008,"angelina","48005","Barack Obama","democrat",4.7,0.32171646142764
2008,"aransas","48007","Barack Obama","democrat",4.4,0.307424831253835
2008,"archer","48009","Barack Obama","democrat",3.6,0.169530355097365
2008,"armstrong","48011","Barack Obama","democrat",3.5,0.129292929292929
2008,"atascosa","48013","Barack Obama","democrat",4.7,0.444254377138257
2008,"austin","48015","Barack Obama","democrat",4.2,0.240679122941729
2008,"bailey","48017","Barack Obama","democrat",4.1,0.29447322970639
2008,"bandera","48019","Barack Obama","democrat",4.4,0.242013552758955
2008,"bastrop","48021","Barack Obama","democrat",4.9,0.450922139053939
2008,"baylor","48023","Barack Obama","democrat",3.7,0.222763237979306
2008,"bee","48025","Barack Obama","democrat",6.1,0.446855461566752
2008,"bell","48027","Barack Obama","democrat",4.8,0.447373082117475
2008,"bexar","48029","Barack Obama","democrat",4.6,0.524099559647337
2008,"blanco","48031","Barack Obama","democrat",3.6,0.297023689005872
2008,"borden","48033","Barack Obama","democrat",3.3,0.110803324099723
2008,"bosque","48035","Barack Obama","democrat",4.5,0.235024849594559
2008,"bowie","48037","Barack Obama","democrat",4.9,0.30736656624794
2008,"brazoria","48039","Barack Obama","democrat",5.1,0.347627215551744
2008,"brazos","48041","Barack Obama","democrat",3.9,0.349428186729842
2008,"brewster","48043","Barack Obama","democrat",3.7,0.505128205128205
2008,"briscoe","48045","Barack Obama","democrat",4.3,0.246987951807229
2008,"brooks","48047","Barack Obama","democrat",5.3,0.756604590731919
2008,"brown","48049","Barack Obama","democrat",4.4,0.187945387945388
2008,"burleson","48051","Barack Obama","democrat",4.4,0.308027006751688
2008,"burnet","48053","Barack Obama","democrat",3.9,0.272775705913692
2008,"caldwell","48055","Barack Obama","democrat",5.2,0.463856456043956
2008,"calhoun","48057","Barack Obama","democrat",4.7,0.396714638755633
2008,"callahan","48059","Barack Obama","democrat",3.6,0.185969209237229
2008,"cameron","48061","Barack Obama","democrat",6.6,0.640786708434117
2008,"camp","48063","Barack Obama","democrat",4.8,0.379680315305452
2008,"carson","48065","Barack Obama","democrat",3.3,0.136241610738255
2008,"cass","48067","Barack Obama","democrat",6.1,0.294614215769036
2008,"castro","48069","Barack Obama","democrat",3.6,0.313836752509821
2008,"chambers","48071","Barack Obama","democrat",5.7,0.239843514896178
2008,"cherokee","48073","Barack Obama","democrat",5.8,0.280806481086678
2008,"childress","48075","Barack Obama","democrat",5,0.216463414634146
2008,"clay","48077","Barack Obama","democrat",3.9,0.203221577074359
2008,"cochran","48079","Barack Obama","democrat",4.7,0.268684957426679
2008,"coke","48081","Barack Obama","democrat",7.7,0.190567240280433
2008,"coleman","48083","Barack Obama","democrat",4.1,0.173689897352782
2008,"collin","48085","Barack Obama","democrat",4.5,0.367677850719697
2008,"collingsworth","48087","Barack Obama","democrat",3.9,0.19581589958159
2008,"colorado","48089","Barack Obama","democrat",3.9,0.300251406680235
2008,"comal","48091","Barack Obama","democrat",4,0.257153536276423
2008,"comanche","48093","Barack Obama","democrat",3.8,0.25570251102166
